Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Peer_Influence,Physical_Activity,Parental_Education_Level,Distance_from_Home,Exam_Score,Parental_Involvement_label,Access_to_Resources_label,Motivation_Level_label,Family_Income_label,Teacher_Quality_label,Distance_from_Home_label,Parental_Education_Level_label,Peer_Influence_label,Extracurricular_Activities_label,Internet_Access_label,Learning_Disabilities_label,School_Type_label,Gender_label,Extracurricular_Activities_No,Extracurricular_Activities_Yes,Internet_Access_No,Internet_Access_Yes,Learning_Disabilities_No,Learning_Disabilities_Yes,School_Type_Private,School_Type_Public,Gender_Female,Gender_Male
18,94,2,3,7,82,2,3,2,2.0,1,2,2.0,1.0,C,Medium,High,Medium,Medium,Medium,Near,College,Negative,Yes,Yes,Yes,Private,Male,False,True,False,True,False,True,True,False,False,True
11,98,2,2,9,82,1,1,2,2.0,3,3,3.0,3.0,D,Medium,Medium,Low,Medium,Medium,Far,Postgraduate,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
16,70,2,2,8,98,2,2,2,2.0,3,3,1.0,2.0,D,Medium,Medium,Medium,Medium,Medium,Moderate,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
17,78,2,2,6,88,2,1,2,3.0,3,3,2.0,1.0,D,Medium,Medium,Medium,Medium,High,Near,College,Positive,Yes,Yes,No,Private,Female,False,True,False,True,True,False,True,False,True,False
26,61,2,1,6,70,2,2,1,2.0,3,3,1.0,2.0,D,Medium,Low,Medium,Low,Medium,Moderate,High School,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
22,86,1,2,7,72,1,3,1,3.0,3,2,1.0,2.0,D,Low,Medium,Low,Low,High,Moderate,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
9,77,2,2,5,57,2,2,2,3.0,2,3,1.0,1.0,D,Medium,Medium,Medium,Medium,High,Near,High School,Neutral,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
22,71,1,2,7,65,1,1,2,1.0,3,4,2.0,2.0,D,Low,Medium,Low,Medium,Low,Moderate,College,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
18,68,3,2,7,72,2,0,2,2.0,2,3,2.0,1.0,D,High,Medium,Medium,Medium,Medium,Near,College,Neutral,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
16,86,1,2,8,63,2,2,2,2.0,3,4,1.0,1.0,D,Low,Medium,Medium,Medium,Medium,Near,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
24,77,3,1,8,96,2,0,2,2.0,2,3,1.0,1.0,D,High,Low,Medium,Medium,Medium,Near,High School,Neutral,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
26,67,2,3,7,51,1,2,3,3.0,2,4,3.0,3.0,D,Medium,High,Low,High,High,Far,Postgraduate,Neutral,Yes,Yes,Yes,Private,Female,False,True,False,True,False,True,True,False,True,False
26,88,2,3,5,79,2,1,1,3.0,3,4,2.0,2.0,C,Medium,High,Medium,Low,High,Moderate,College,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
15,83,2,3,5,89,1,1,2,3.0,2,2,1.0,1.0,D,Medium,High,Low,Medium,High,Near,High School,Neutral,No,No,Yes,Public,Female,True,False,True,False,False,True,False,True,True,False
18,94,2,2,6,87,3,1,2,2.0,3,4,1.0,1.0,C,Medium,Medium,High,Medium,Medium,Near,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
22,65,3,1,8,82,2,2,2,3.0,3,1,3.0,1.0,D,High,Low,Medium,Medium,High,Near,Postgraduate,Positive,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
26,91,2,1,8,71,2,0,1,2.0,2,3,1.0,2.0,D,Medium,Low,Medium,Low,Medium,Moderate,High School,Neutral,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
17,87,2,2,7,96,2,1,3,2.0,1,5,3.0,1.0,C,Medium,Medium,Medium,High,Medium,Near,Postgraduate,Negative,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
19,65,2,2,10,66,1,0,1,2.0,3,3,1.0,2.0,D,Medium,Medium,Low,Low,Medium,Moderate,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
13,88,1,3,9,88,3,2,1,3.0,1,4,3.0,3.0,D,Low,High,High,Low,High,Far,Postgraduate,Negative,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
13,78,2,3,9,96,3,2,1,2.0,2,3,2.0,2.0,D,Medium,High,High,Low,Medium,Moderate,College,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
25,98,1,3,8,56,2,0,2,3.0,2,3,3.0,1.0,C,Low,High,Medium,Medium,High,Near,Postgraduate,Neutral,Yes,No,No,Private,Male,False,True,True,False,True,False,True,False,False,True
28,66,2,3,8,97,2,0,2,2.0,2,2,1.0,1.0,D,Medium,High,Medium,Medium,Medium,Near,High School,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
20,86,2,2,8,89,2,1,1,2.0,1,3,3.0,1.0,D,Medium,Medium,Medium,Low,Medium,Near,Postgraduate,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
26,75,1,3,4,81,3,3,2,3.0,3,2,1.0,2.0,C,Low,High,High,Medium,High,Moderate,High School,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
22,98,2,3,5,69,1,1,1,3.0,1,4,1.0,2.0,D,Medium,High,Low,Low,High,Moderate,High School,Negative,No,No,No,Public,Female,True,False,True,False,True,False,False,True,True,False
16,73,2,2,7,95,2,1,1,2.0,1,4,2.0,1.0,D,Medium,Medium,Medium,Low,Medium,Near,College,Negative,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
22,98,2,1,7,52,2,3,2,2.0,3,3,2.0,1.0,C,Medium,Low,Medium,Medium,Medium,Near,College,Positive,Yes,No,No,Public,Female,False,True,True,False,True,False,False,True,True,False
29,96,2,1,7,72,2,1,1,2.0,3,3,1.0,2.0,C,Medium,Low,Medium,Low,Medium,Moderate,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
20,71,2,2,7,88,2,1,1,1.0,2,4,2.0,1.0,D,Medium,Medium,Medium,Low,Low,Near,College,Neutral,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
29,92,1,2,4,91,2,2,2,2.0,1,1,3.0,1.0,C,Low,Medium,Medium,Medium,Medium,Near,Postgraduate,Negative,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
4,100,3,3,8,60,3,0,2,3.0,3,4,2.0,2.0,D,High,High,High,Medium,High,Moderate,College,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
25,70,2,2,7,52,2,1,2,2.0,3,3,3.0,1.0,D,Medium,Medium,Medium,Medium,Medium,Near,Postgraduate,Positive,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
18,81,3,1,8,71,2,0,2,2.0,2,3,1.0,2.0,D,High,Low,Medium,Medium,Medium,Moderate,High School,Neutral,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
21,72,2,2,5,57,2,1,3,2.0,2,5,2.0,2.0,D,Medium,Medium,Medium,High,Medium,Moderate,College,Neutral,Yes,Yes,Yes,Public,Male,False,True,False,True,False,True,False,True,False,True
8,61,2,2,7,54,2,1,3,2.0,3,3,2.0,1.0,D,Medium,Medium,Medium,High,Medium,Near,College,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
19,69,2,3,7,82,3,1,1,2.0,1,2,1.0,1.0,D,Medium,High,High,Low,Medium,Near,High School,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
22,71,3,2,6,79,3,1,1,1.0,3,3,1.0,1.0,D,High,Medium,High,Low,Low,Near,High School,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
17,67,2,2,5,52,3,2,2,2.0,1,3,1.0,3.0,D,Medium,Medium,High,Medium,Medium,Far,High School,Negative,Yes,Yes,No,Private,Female,False,True,False,True,True,False,True,False,True,False
15,95,2,2,7,93,2,2,1,2.0,3,4,2.0,2.0,C,Medium,Medium,Medium,Low,Medium,Moderate,College,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
17,88,2,3,7,94,1,0,2,2.0,2,3,1.0,1.0,D,Medium,High,Low,Medium,Medium,Near,High School,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
25,63,2,3,7,72,2,3,2,3.0,1,4,2.0,3.0,D,Medium,High,Medium,Medium,High,Far,College,Negative,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
22,86,1,1,6,54,2,2,2,2.0,2,0,1.0,2.0,D,Low,Low,Medium,Medium,Medium,Moderate,High School,Neutral,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
17,86,2,3,5,97,3,3,3,2.0,2,3,2.0,1.0,C,Medium,High,High,High,Medium,Near,College,Neutral,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
23,98,2,1,7,54,1,0,2,2.0,1,3,2.0,1.0,D,Medium,Low,Low,Medium,Medium,Near,College,Negative,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
21,60,3,2,7,80,2,0,2,3.0,2,4,2.0,1.0,D,High,Medium,Medium,Medium,High,Near,College,Neutral,No,Yes,Yes,Public,Male,True,False,False,True,False,True,False,True,False,True
26,70,2,1,8,75,2,1,2,1.0,2,4,1.0,3.0,D,Medium,Low,Medium,Medium,Low,Far,High School,Neutral,Yes,Yes,Yes,Private,Female,False,True,False,True,False,True,True,False,True,False
16,97,2,2,6,92,1,0,3,2.0,3,4,2.0,1.0,C,Medium,Medium,Low,High,Medium,Near,College,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
18,97,3,2,4,75,1,0,1,2.0,3,3,1.0,2.0,D,High,Medium,Low,Low,Medium,Moderate,High School,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
18,89,3,2,4,73,2,3,3,2.0,3,2,2.0,1.0,A,High,Medium,Medium,High,Medium,Near,College,Positive,Yes,Yes,No,Private,Female,False,True,False,True,True,False,True,False,True,False
11,91,2,2,6,94,2,3,2,2.0,2,3,2.0,2.0,D,Medium,Medium,Medium,Medium,Medium,Moderate,College,Neutral,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
22,64,1,2,7,98,1,1,2,2.0,1,3,1.0,1.0,D,Low,Medium,Low,Medium,Medium,Near,High School,Negative,No,No,No,Public,Male,True,False,True,False,True,False,False,True,False,True
22,81,2,2,7,77,1,2,2,2.0,3,3,3.0,3.0,D,Medium,Medium,Low,Medium,Medium,Far,Postgraduate,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
20,69,3,3,6,73,2,2,1,2.0,3,3,1.0,3.0,D,High,High,Medium,Low,Medium,Far,High School,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
19,67,1,2,5,92,3,0,2,2.0,3,3,2.0,1.0,D,Low,Medium,High,Medium,Medium,Near,College,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
12,92,2,2,4,92,3,2,2,3.0,2,3,1.0,2.0,D,Medium,Medium,High,Medium,High,Moderate,High School,Neutral,No,Yes,Yes,Public,Male,True,False,False,True,False,True,False,True,False,True
17,65,2,3,8,66,2,1,3,3.0,2,4,3.0,2.0,D,Medium,High,Medium,High,High,Moderate,Postgraduate,Neutral,Yes,Yes,Yes,Public,Female,False,True,False,True,False,True,False,True,True,False
18,79,2,2,7,79,2,0,1,3.0,2,3,2.0,3.0,D,Medium,Medium,Medium,Low,High,Far,College,Neutral,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
15,98,3,2,6,58,3,0,1,3.0,3,3,2.0,1.0,D,High,Medium,High,Low,High,Near,College,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
19,67,2,2,5,82,3,1,1,1.0,1,3,1.0,1.0,D,Medium,Medium,High,Low,Low,Near,High School,Negative,No,Yes,No,Private,Male,True,False,False,True,True,False,True,False,False,True
22,99,2,1,6,92,1,3,2,2.0,1,4,3.0,2.0,C,Medium,Low,Low,Medium,Medium,Moderate,Postgraduate,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
31,100,2,2,7,59,2,2,3,3.0,3,5,3.0,2.0,C,Medium,Medium,Medium,High,High,Moderate,Postgraduate,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
21,82,2,3,7,66,3,3,1,2.0,3,3,2.0,1.0,D,Medium,High,High,Low,Medium,Near,College,Positive,Yes,Yes,Yes,Public,Female,False,True,False,True,False,True,False,True,True,False
22,67,2,2,7,72,3,3,1,3.0,3,2,3.0,2.0,D,Medium,Medium,High,Low,High,Moderate,Postgraduate,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
20,73,3,2,9,92,2,2,2,3.0,3,3,2.0,1.0,D,High,Medium,Medium,Medium,High,Near,College,Positive,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
8,77,3,2,6,87,2,0,1,2.0,2,2,1.0,2.0,D,High,Medium,Medium,Low,Medium,Moderate,High School,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
20,72,2,2,9,66,2,3,1,3.0,3,3,3.0,1.0,D,Medium,Medium,Medium,Low,High,Near,Postgraduate,Positive,No,Yes,No,Private,Male,True,False,False,True,True,False,True,False,False,True
20,71,1,3,7,62,3,2,2,2.0,1,5,2.0,1.0,D,Low,High,High,Medium,Medium,Near,College,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
35,99,3,3,7,85,1,2,2,3.0,2,2,3.0,1.0,C,High,High,Low,Medium,High,Near,Postgraduate,Neutral,Yes,Yes,No,Private,Female,False,True,False,True,True,False,True,False,True,False
19,66,2,2,8,74,2,1,3,2.0,2,3,1.0,1.0,D,Medium,Medium,Medium,High,Medium,Near,High School,Neutral,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
22,89,3,3,6,80,2,1,3,3.0,3,3,1.0,1.0,C,High,High,Medium,High,High,Near,High School,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
20,60,1,3,7,82,3,2,1,3.0,3,4,1.0,1.0,D,Low,High,High,Low,High,Near,High School,Positive,No,Yes,Yes,Public,Male,True,False,False,True,False,True,False,True,False,True
13,84,2,2,5,78,2,1,1,3.0,3,2,1.0,1.0,D,Medium,Medium,Medium,Low,High,Near,High School,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
27,97,1,3,8,81,2,0,3,2.0,3,5,1.0,1.0,C,Low,High,Medium,High,Medium,Near,High School,Positive,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
25,72,3,3,8,94,1,2,1,2.0,3,4,2.0,2.0,C,High,High,Low,Low,Medium,Moderate,College,Positive,Yes,Yes,No,Private,Female,False,True,False,True,True,False,True,False,True,False
25,67,3,2,9,93,3,2,1,3.0,3,3,1.0,1.0,D,High,Medium,High,Low,High,Near,High School,Positive,No,Yes,Yes,Public,Female,True,False,False,True,False,True,False,True,True,False
15,86,2,2,7,57,2,1,2,2.0,1,3,2.0,1.0,D,Medium,Medium,Medium,Medium,Medium,Near,College,Negative,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
28,89,1,3,9,79,3,0,1,2.0,3,1,2.0,2.0,C,Low,High,High,Low,Medium,Moderate,College,Positive,Yes,Yes,No,Private,Female,False,True,False,True,True,False,True,False,True,False
12,88,1,2,6,72,1,2,2,2.0,3,2,2.0,3.0,D,Low,Medium,Low,Medium,Medium,Far,College,Positive,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
33,70,2,2,6,82,1,1,1,3.0,2,4,2.0,1.0,D,Medium,Medium,Low,Low,High,Near,College,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
14,98,2,2,7,76,2,0,2,3.0,3,4,2.0,2.0,D,Medium,Medium,Medium,Medium,High,Moderate,College,Positive,No,Yes,No,Private,Female,True,False,False,True,True,False,True,False,True,False
21,78,2,2,10,55,2,1,3,1.0,3,2,2.0,1.0,D,Medium,Medium,Medium,High,Low,Near,College,Positive,Yes,Yes,No,Private,Male,False,True,False,True,True,False,True,False,False,True
11,78,2,3,8,51,2,2,1,2.0,2,3,3.0,1.0,D,Medium,High,Medium,Low,Medium,Near,Postgraduate,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
20,77,2,2,6,87,1,0,1,3.0,3,4,1.0,1.0,D,Medium,Medium,Low,Low,High,Near,High School,Positive,No,Yes,No,Public,Female,True,False,False,True,True,False,False,True,True,False
14,66,3,1,7,96,2,3,1,3.0,1,3,1.0,1.0,D,High,Low,Medium,Low,High,Near,High School,Negative,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
23,77,2,2,7,79,2,0,1,3.0,2,2,1.0,2.0,D,Medium,Medium,Medium,Low,High,Moderate,High School,Neutral,Yes,Yes,No,Public,Male,False,True,False,True,True,False,False,True,False,True
14,81,2,2,9,81,2,1,1,3.0,1,3,3.0,1.0,D,Medium,Medium,Medium,Low,High,Near,Postgraduate,Negative,No,Yes,No,Private,Female,True,False,False,True,True,False,True,False,True,False
29,61,2,3,7,52,1,3,1,2.0,3,3,2.0,1.0,D,Medium,High,Low,Low,Medium,Near,College,Positive,Yes,Yes,No,Private,Female,False,True,False,True,True,False,True,False,True,False
15,78,3,3,9,75,1,1,1,2.0,1,1,1.0,1.0,D,High,High,Low,Low,Medium,Near,High School,Negative,No,Yes,No,Public,Male,True,False,False,True,True,False,False,True,False,True
18,91,1,2,5,76,2,1,2,2.0,2,3,1.0,1.0,D,Low,Medium,Medium,Medium,Medium,Near,High School,Neutral,Yes,Yes,No,Public,Female,False,True,False,True,True,False,False,True,True,False
25,87,2,1,9,52,3,1,1,3.0,3,2,1.0,1.0,D,Medium,Low,High,Low,High,Near,High School,Positive,No,Yes,No,Private,Male,True,False,False,True,True,False,True,False,False,True
13,85,3,2,6,89,2,0,3,2.0,2,1,1.0,1.0,D,High,Medium,Medium,High,Medium,Near,High School,Neutral,No,Yes,Yes,Private,Male,True,False,False,True,False,True,True,False,False,True
